,metascore,userscore,year,mean_userscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling,name
1562,75.0,6.4,2014,6.911874548345132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hohokum
1563,36.0,4.7,2018,4.01111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hollow
1564,88.5,8.9,2017,7.754368622448977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hollow Knight
1565,66.0,5.8,2018,6.423721167641541,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Home Sweet Home
1566,47.0,6.0,2013,4.520486111111111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,HomeTown Story
1567,50.333333333333336,4.1000000000000005,2016,5.335082251082251,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Homefront: The Revolution
1568,72.0,7.1,2015,6.72193452683688,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Homesick
1569,86.0,8.2,2015,7.557812500000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Homeworld Remastered Collection
1570,79.0,7.9,2016,7.1832070707070725,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Homeworld: Deserts of Kharak
1571,81.0,8.4,2019,7.311510194404932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horace
1572,58.0,6.7,2013,6.064729729729731,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Horizon
1573,78.25,8.1,2018,7.089415850125171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Horizon Chase Turbo
1574,89.0,8.4,2017,7.909302325581396,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Horizon Zero Dawn
1575,83.0,7.8,2017,7.325162017469709,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Horizon Zero Dawn: The Frozen Wilds
