,openscore,name,year_x,metascore,userscore,year_y,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling
155,83,Sunset Overdrive,2014,81.0,7.8,2014,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,83,BioShock Infinite: Burial at Sea - Episode Two,2014,82.0,8.45,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,83,Broken Age: Act 1,2014,82.0,7.7,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158,83,WildStar,2014,82.0,7.5,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,82,FIFA 15,2014,82.0,5.1,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,82,MLB 14: The Show,2014,82.0,7.15,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
161,82,Phoenix Wright: Ace Attorney Trilogy,2014,80.4,8.36,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,82,Age of Wonders III,2014,80.0,8.0,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
163,82,Super Time Force,2014,80.5,6.15,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,82,Astebreed,2014,86.0,7.4,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,82,Captain Toad: Treasure Tracker,2014,80.66666666666667,8.133333333333335,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,82,The Journey Down: Chapter Two,2014,78.0,7.1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,82,Luftrausers,2014,81.0,7.166666666666667,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,82,Oddworld: Abe's Oddysee - New 'n' Tasty,2014,85.5,7.75,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,82,Dark Souls II: Crown of the Sunken King,2014,81.66666666666667,7.866666666666667,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
170,82,Sunless Sea,2014,81.0,7.6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,82,inFamous: Second Son,2014,80.0,8.0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,81,The Walking Dead: Season Two Episode 3 - In Harm's Way,2014,81.0,8.433333333333334,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,81,Sid Meier's Civilization: Beyond Earth,2014,81.0,5.5,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
174,81,Forza Horizon 2: Storm Island,2014,82.0,7.5,2014,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
175,81,SMITE,2014,80.66666666666667,7.433333333333334,2015,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
176,81,Wolfenstein: The New Order,2014,79.66666666666667,8.033333333333333,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,81,Freedom Planet,2014,83.0,8.466666666666667,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,81,Nidhogg,2014,81.0,6.8,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,81,Wasteland 2,2014,81.0,7.2,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180,81,Madden NFL 15,2014,80.5,6.15,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
181,81,Call of Duty: Advanced Warfare,2014,80.66666666666667,5.266666666666667,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,81,Fantasia: Music Evolved,2014,77.0,7.5,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,81,Professor Layton and the Azran Legacy,2014,81.0,8.0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,81,Shantae and the Pirate's Curse,2014,81.4,8.26,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,81,The Banner Saga,2014,78.33333333333333,7.933333333333333,2015,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
186,81,Company of Heroes 2: The Western Front Armies,2014,80.0,6.9,2014,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
187,81,DG2: Defense Grid 2,2014,78.66666666666667,7.033333333333334,2014,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
188,80,Pro Evolution Soccer 2015,2014,81.0,6.466666666666666,2014,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
189,80,Sportsfriends,2014,82.0,6.3,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190,80,ZEN Pinball 2: South Park: Super-Sweet Pinball,2014,84.0,6.0,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,80,NBA 2K15,2014,82.5,6.550000000000001,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
192,80,Super Mega Baseball,2014,85.0,7.2,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
193,80,Stealth Inc 2: A Game of Clones,2014,78.75,7.075,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,80,Alien: Isolation,2014,79.33333333333333,8.200000000000001,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,80,Pushmo World,2014,80.0,8.0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,80,Kalimba,2014,81.0,7.4,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,80,1001 Spikes,2014,78.0,6.6,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,80,Valiant Hearts: The Great War,2014,78.5,8.175,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,80,Scram Kitty and His Buddy on Rails,2014,79.0,7.7,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,80,The Vanishing of Ethan Carter,2014,80.0,7.833333333333333,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201,80,Skylanders Trap Team,2014,78.0,6.35,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,80,Resident Evil 4: Ultimate HD Edition,2014,79.0,8.1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,79,LittleBigPlanet 3,2014,79.0,7.1,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,79,So Many Me,2014,78.0,7.1,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,79,The Wolf Among Us: Episode 2 - Smoke and Mirrors,2014,77.0,8.1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,79,Watch Dogs,2014,74.25,5.9,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,79,The Walking Dead: Season Two Episode 5 - No Going Back,2014,83.0,8.433333333333332,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,79,Company of Heroes 2: Ardennes Assault,2014,81.0,6.2,2014,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
209,79,Pix the Cat,2014,75.66666666666667,6.741187739463601,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,79,Dungeon of the Endless,2014,78.5,7.55,2015,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
211,79,A Story About My Uncle,2014,73.0,7.2,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,79,Trials Fusion,2014,79.66666666666667,7.033333333333334,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
213,78,Samurai Warriors 4,2014,76.0,7.6,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,78,Age of Wonders III - Golden Realms,2014,82.0,8.5,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
