,openscore,name,year_x,metascore,userscore,year_y
65,81,Blazing Beaks,2019,79.0,6.6,2019.0
66,81,Age of Wonders: Planetfall,2019,81.0,7.3,2019.0
67,81,Final Fantasy VIII Remastered,2019,80.0,7.0,2019.0
68,81,Persona Q2: New Cinema Labyrinth,2019,81.0,8.2,2019.0
69,81,Void Bastards,2019,78.0,8.100000000000001,2019.0
70,81,Call of Duty: Modern Warfare,2019,81.33333333333333,3.1,2019.0
71,81,Ace Combat 7: Skies Unknown,2019,79.33333333333333,7.733333333333334,2019.0
72,81,Ion Fury,2019,79.0,5.9,2019.0
73,81,World of Warcraft Classic,2019,81.0,6.3,2019.0
74,81,Blood & Truth,2019,80.0,8.0,2019.0
75,81,World End Syndrome,2019,78.0,7.6,2019.0
76,81,Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,2019,79.0,8.4,2019.0
77,80,Catherine: Full Body,2019,81.0,7.6,2019.0
78,80,Vacation Simulator,2019,77.0,7.4,2019.0
79,80,Untitled Goose Game,2019,80.0,6.7,2019.0
80,80,Atelier Lulua: The Scion of Arland,2019,78.0,7.300000000000001,2019.0
81,80,Dicey Dungeons,2019,80.0,7.5,2019.0
82,80,My Friend Pedro,2019,79.5,8.0,2019.0
83,80,Yoshi's Crafted World,2019,79.0,8.0,2019.0
84,80,Druidstone: The Secret of the Menhir Forest,2019,79.0,7.4,2019.0
85,80,Vectronom,2019,82.0,8.3,2019.0
86,80,Samurai Shodown,2019,79.5,7.85,2019.0
87,80,BoxBoy! + BoxGirl!,2019,80.0,8.2,2019.0
88,80,Borderlands 3,2019,80.33333333333333,5.333333333333333,2019.0
89,80,Trine 4: The Nightmare Prince,2019,80.5,7.9750000000000005,2019.0
90,80,Five Nights at Freddy's VR: Help Wanted,2019,80.0,7.9,2019.0
91,80,Stellaris: Console Edition,2019,79.0,7.3,2019.0
92,80,God's Trigger,2019,75.0,8.266666666666667,2019.0
93,80,Trials Rising,2019,81.25,6.074999999999999,2019.0
94,80,OlliOlli: Switch Stance,2019,83.0,8.2,2019.0
95,80,Octahedron: Transfixed Edition,2019,79.0,8.0,2019.0
96,80,Operencia: The Stolen Sun,2019,82.0,7.2,2019.0
97,80,New Super Mario Bros. U Deluxe,2019,80.0,7.1,2019.0
98,80,Blazing Chrome,2019,79.0,7.65,2019.0
99,80,Green Hell,2019,77.0,7.5,2019.0
100,79,Indivisible,2019,80.33333333333333,6.133333333333333,2019.0
101,79,Knights and Bikes,2019,79.0,7.9,2019.0
102,79,Irony Curtain: From Matryoshka with Love,2019,76.0,7.283333333333333,2019.0
103,79,Tropico 6,2019,77.0,6.85,2019.0
104,79,Heave Ho,2019,80.0,7.7,2019.0
105,79,Telling Lies,2019,84.0,6.6,2019.0
106,79,Blasphemous,2019,78.5,7.925,2019.0
107,79,Dauntless,2019,79.5,4.45,2019.0
108,79,NHL 20,2019,81.5,4.199999999999999,2019.0
109,79,Castlevania Anniversary Collection,2019,78.33333333333333,6.666666666666667,2019.0
110,79,Puzzle Quest: The Legend Returns,2019,77.0,7.8,2019.0
111,79,Remnant: From the Ashes,2019,79.0,7.2,2019.0
112,78,Kirby's Extra Epic Yarn,2019,79.0,6.6,2019.0
113,78,River City Girls,2019,78.0,6.6,2019.0
114,78,Catherine Classic,2019,80.0,7.9,2019.0
115,78,Unruly Heroes,2019,76.75,7.1,2019.0
116,78,Imperator: Rome,2019,76.0,4.6,2019.0
117,78,Hunt: Showdown,2019,81.0,7.5,2019.0
118,78,Mutazione,2019,76.0,6.8,2019.0
119,78,FIFA 20,2019,79.0,1.0,2019.0
