,name,platform,metascore,userscore,year,mean_userscore
177,Borderlands 3,PC,81,5.2,2019,7.327500000000001
178,Age of Wonders: Planetfall,PC,81,7.6,2019,7.327500000000001
179,Anno 1800,PC,81,8.0,2019,7.327500000000001
180,Call of Duty: Modern Warfare,PS4,81,3.2,2019,7.327500000000001
181,Resident Evil 4,Switch,81,8.4,2019,7.327500000000001
182,Fantasy General II,PC,81,7.7,2019,7.327500000000001
183,Outer Wilds,PS4,81,5.8,2019,7.327500000000001
184,A Plague Tale: Innocence,PC,81,8.7,2019,7.327500000000001
185,My Friend Pedro,PC,81,8.1,2019,7.327500000000001
186,Planet Zoo,PC,81,8.3,2019,7.327500000000001
187,Untitled Goose Game,Switch,81,7.7,2019,7.327500000000001
188,Phoenix Wright: Ace Attorney Trilogy,Switch,81,8.4,2019,7.327500000000001
189,Tales of Vesperia: Definitive Edition,PS4,81,7.2,2019,7.327500000000001
190,Baldur's Gate and Baldur's Gate II: Enhanced Editions,PS4,81,5.1,2019,7.327500000000001
191,Trine 4: The Nightmare Prince,XONE,81,8.2,2019,7.327500000000001
192,Songbird Symphony,Switch,81,7.7,2019,7.327500000000001
193,Castlevania Anniversary Collection,Switch,81,8.1,2019,7.327500000000001
194,Call of Duty: Modern Warfare,PC,81,2.5,2019,7.327500000000001
195,Sid Meier's Civilization VI: Gathering Storm,PC,81,6.6,2019,7.327500000000001
196,Etrian Odyssey Nexus,3DS,81,7.0,2019,7.327500000000001
197,Wargroove,XONE,81,5.5,2019,7.327500000000001
198,Contra Anniversary Collection,Switch,81,6.6,2019,7.327500000000001
199,Final Fantasy VIII Remastered,PS4,80,6.7,2019,7.234883720930233
200,Phoenix Wright: Ace Attorney Trilogy,PC,80,8.6,2019,7.234883720930233
201,The Red Strings Club,Switch,80,8.1,2019,7.234883720930233
202,Unruly Heroes,PC,80,6.8,2019,7.234883720930233
203,Tales of Vesperia: Definitive Edition,XONE,80,7.7,2019,7.234883720930233
204,Crash Team Racing: Nitro-Fueled,Switch,80,6.0,2019,7.234883720930233
205,The Elder Scrolls Online: Elsweyr,PC,80,8.1,2019,7.234883720930233
206,Phoenix Wright: Ace Attorney Trilogy,XONE,80,8.7,2019,7.234883720930233
207,Five Nights at Freddy's VR: Help Wanted,PS4,80,7.9,2019,7.234883720930233
208,SpellForce 3: Soul Harvest,PC,80,8.5,2019,7.234883720930233
209,SteamWorld Quest: Hand of Gilgamech,Switch,80,7.7,2019,7.234883720930233
210,Blood & Truth,PS4,80,8.0,2019,7.234883720930233
211,Torchlight II,PS4,80,4.1,2019,7.234883720930233
212,BoxBoy! + BoxGirl!,Switch,80,8.2,2019,7.234883720930233
213,New Super Mario Bros. U Deluxe,Switch,80,7.1,2019,7.234883720930233
