,name,year_x,metascore,userscore,openscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling
2465,Telling Lies,2019,84.0,6.6,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2466,Blasphemous,2019,78.5,7.925,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2467,Dauntless,2019,79.5,4.45,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2468,NHL 20,2019,81.5,4.199999999999998,79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2469,Castlevania Anniversary Collection,2019,78.33333333333333,6.666666666666668,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2470,Puzzle Quest: The Legend Returns,2019,77.0,7.8,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2471,Remnant: From the Ashes,2019,79.0,7.2,79,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2472,Kirby's Extra Epic Yarn,2019,79.0,6.6,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2473,River City Girls,2019,78.0,6.6,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2474,Catherine Classic,2019,80.0,7.9,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2475,Unruly Heroes,2019,76.75,7.1,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2476,Imperator: Rome,2019,76.0,4.6,78,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2477,Hunt: Showdown,2019,81.0,7.5,78,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2478,Mutazione,2019,76.0,6.8,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2479,FIFA 20,2019,79.0,1.0,78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2480,MotoGP 19,2019,75.5,7.949999999999998,78,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2481,The Elder Scrolls Online: Elsweyr,2019,80.0,8.1,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2482,The Ninja Saviors: Return of the Warriors,2019,77.0,6.4,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2483,Creature in the Well,2019,77.0,6.2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2484,New Super Lucky's Tale,2019,76.0,7.9,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2485,Concrete Genie,2019,75.0,8.4,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2486,Forager,2019,78.0,8.25,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2487,Puyo Puyo Champions,2019,74.0,7.1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2488,Digimon Story Cyber Sleuth: Complete Edition,2019,79.0,7.9,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2489,Crystal Crisis,2019,79.0,8.2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2490,The Alliance Alive HD Remastered,2019,75.0,7.6,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2491,When Ski Lifts Go Wrong,2019,72.0,6.2849999999999975,77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2492,Madden NFL 20,2019,77.5,1.85,77,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2493,Doraemon: Story of Seasons,2019,74.0,7.5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2494,Fate/Extella Link,2019,74.5,7.1,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2495,The Surge 2,2019,76.66666666666667,6.599999999999999,76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2496,Pikuniku,2019,75.0,6.95,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2497,Afterparty,2019,74.0,6.133333333333333,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2498,Battlefleet Gothic: Armada 2,2019,77.0,7.5,76,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2499,Muse Dash,2019,73.0,7.7,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,Never Give Up,2019,78.0,7.9,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2501,Field of Glory: Empires,2019,75.0,7.7,76,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2502,Trover Saves the Universe,2019,76.0,7.9,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2503,Mechstermination Force,2019,78.0,7.7,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2504,Attack on Titan 2: Final Battle,2019,74.5,5.7078125,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2505,Observation,2019,77.0,6.95,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2506,Contra Anniversary Collection,2019,77.5,6.25,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2507,NBA 2K20,2019,77.0,0.9666666666666668,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2508,Song of Horror,2019,73.0,8.3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2509,Destiny 2: Shadowkeep,2019,75.66666666666667,6.633333333333333,76,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2510,We. The Revolution,2019,77.5,7.65,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2511,Hob: The Definitive Edition,2019,76.0,7.7,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,Rebel Galaxy Outlaw,2019,77.0,5.8,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,Neo Cab,2019,75.5,6.25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2514,They Are Billions,2019,74.0,5.7137254901960794,75,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2515,The Eternal Castle Remastered,2019,73.0,6.9,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2516,Dragon Star Varnir,2019,75.0,6.8,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2517,Fantasy Strike,2019,75.0,7.8,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2518,Angry Birds VR: Isle of Pigs,2019,78.0,5.2,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2519,"Bury me, my Love",2019,75.0,5.3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2520,Everybody's Golf VR,2019,74.0,7.9,75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2521,Code Vein,2019,72.33333333333333,7.866666666666667,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2522,Dead or Alive 6,2019,73.66666666666667,5.333333333333333,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2523,Gato Roboto,2019,75.5,7.65,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2524,John Wick Hex,2019,74.0,3.5,74,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2525,GreedFall,2019,74.66666666666667,8.0,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2526,Zanki Zero: Last Beginning,2019,72.0,5.9,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2527,Rad,2019,72.25,6.425000000000002,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2528,Heaven's Vault,2019,73.0,4.95,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2529,Assetto Corsa Competizione,2019,77.0,6.7,74,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2530,Team Sonic Racing,2019,72.0,7.8,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2531,Deliver Us The Moon,2019,74.0,8.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2532,Aftercharge,2019,69.0,6.3,74,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
